"no","chapter","chinese","pinyin","japanese","comment","supplemental_pinyin"
"24","3","见到你我就高兴。","Jiàn dào nǐ wǒ jiù gāoxìng.","あなたに会うと嬉しくなる。","「见到（jiàn dào）」は「会う・見かける」、「就（jiù）」は「〜すると自然に」。会うだけで嬉しくなる、そういう人が人生に何人かいたら幸せだよね。そういう人に言える言葉。",""
"25","3","你懂我。","Nǐ dǒng wǒ.","あなたは私のことをわかってくれる。","「懂（dǒng）」は「理解する・わかる」。短い言葉だけど、これが言える関係って本当に特別。言葉が少なくても通じ合える感覚、中国語で言うと「默契（mòqì）」って言うの。あなたとも、そうなれたらいいな。",""
"26","4","我想跟你说实话。","Wǒ xiǎng gēn nǐ shuō shíhuà.","本音を話したい。","「说实话（shuō shíhuà）」は「本当のことを言う」。これを言える関係って、すごく大事。前置きとして使うと、相手も真剣に聞いてくれるよ。大切な話の始め方として覚えておいて。",""
"27","4","说实话，我不太喜欢。","Shuō shíhuà, wǒ bú tài xǐhuan.","正直に言うと、あまり好きじゃない。","「不太（bú tài）」は「あまり〜ない」。「大嫌い」じゃなくて「あまり好きじゃない」って言える表現。角が立たないように本音を言う時に便利。日本人が苦手な「はっきり断る」練習にもなるよ。",""
"28","4","我有话想对你说。","Wǒ yǒu huà xiǎng duì nǐ shuō.","あなたに言いたいことがある。","ドキッとする言葉でしょ（笑）。「话（huà）」は「言葉・話」。告白の前置きにも、真剣な相談にも使える。これを言われたら、ちゃんと向き合って聞いてあげてね。",""
"29","4","对不起，是我的错。","Duìbuqǐ, shì wǒ de cuò.","ごめん、私が悪かった。","「对不起（duìbuqǐ）」は「ごめんなさい」、「我的错（wǒ de cuò）」は「私の間違い・私のせい」。謝る時は言い訳せずにこれだけ言えたら十分。シンプルな謝罪が一番伝わるの。",""
"30","4","我需要一点时间。","Wǒ xūyào yìdiǎn shíjiān.","少し時間が必要。","「需要（xūyào）」は「必要とする」。すぐに答えが出せない時、気持ちの整理が必要な時に使って。「考えさせて」より柔らかく、でも真剣さが伝わる言葉。私もよく使うよ。",""
"31","4","我不知道怎么说。","Wǒ bù zhīdào zěnme shuō.","どう言えばいいかわからない。","「怎么说（zěnme shuō）」は「どう言えばいいか」。言葉が見つからない時、これを正直に言えるのが一番誠実だと思う。中国語学習中も「怎么说？（なんて言うの？）」って使えるよ。",""
"32","4","你误会我了。","Nǐ wùhuì wǒ le.","誤解してる。","「误会（wùhuì）」は「誤解」。日本語と同じ漢字だから覚えやすいでしょ。誤解されたまま黙ってるより、ちゃんと言葉にして解消した方がいい。関係を大切にしたい人にこそ使って。",""
"33","4","其实我一直想说。","Qíshí wǒ yìzhí xiǎng shuō.","実はずっと言いたかった。","「其实（qíshí）」は「実は」、「一直（yìzhí）」は「ずっと」。ずっと心に抱えてたことを打ち明ける時の言葉。これが言えた時、関係が一段階深まると思う。勇気を出して。",""
"34","4","我有时候不太自信。","Wǒ yǒu shíhou bú tài zìxìn.","たまに自信がなくなる。","「自信（zìxìn）」は日本語と同じ。「有时候（yǒu shíhou）」は「時々」。完璧じゃない自分を言葉にできることって、実は強さだと思う。弱さを見せられる関係こそ、本物だよ。",""
"35","4","我只是想让你知道。","Wǒ zhǐshì xiǎng ràng nǐ zhīdào.","ただ、知っててほしかっただけ。","「只是（zhǐshì）」は「ただ〜だけ」、「让你知道（ràng nǐ zhīdào）」は「あなたに知ってもらう」。解決してほしいわけじゃない、ただ聞いてほしい時の言葉。これが言える関係、大切にしてね。",""
"36","5","我舍不得你走。","Wǒ shěbude nǐ zǒu.","行ってほしくないな。","「舍不得（shěbude）」は「手放したくない・別れがたい」。日本語にぴったりの訳がないくらい、深い感情の言葉。大切な人が帰る時、旅立つ時に使って。言われた人は絶対忘れられないよ。",""
"37","5","今天真的很开心。","Jīntiān zhēn de hěn kāixīn.","今日本当に楽しかった。","別れ際に言える最高の言葉のひとつ。「今天（jīntiān）」は「今日」。楽しかった気持ちをちゃんと言葉にして伝えること、大事だよ。言われた方も絶対嬉しいから。",""
"38","5","下次再见面吧。","Xià cì zài jiànmiàn ba.","また今度会おうね。","「下次（xià cì）」は「次回」、「见面（jiànmiàn）」は「会う」。「また会いましょう」の中国語版。「吧（ba）」をつけると「〜しようよ」って提案のニュアンスになるの。社交辞令じゃなく、本気で言ってね。",""
"39","5","保重身体。","Bǎozhòng shēntǐ.","体に気をつけてね。","「保重（bǎozhòng）」は「大切にする」、「身体（shēntǐ）」は「体」。日本語の「お体に気をつけて」と同じ使い方。遠くに行く人、体調を崩してる人への別れの言葉として最高。心が伝わるよ。",""
"40","5","我会想你的。","Wǒ huì xiǎng nǐ de.","会いたくなると思う。","「想（xiǎng）」は「会いたい・思う」の両方の意味がある。「会いたくなる」と「あなたのことを思う」が同時に言える言葉。別れ際にこっそり言えたら、相手の心に残るよ。",""
"41","5","随时联系我。","Suíshí liánxì wǒ.","いつでも連絡してね。","「随时（suíshí）」は「いつでも」、「联系（liánxì）」は「連絡する」。これが言えるって、その関係がオープンだってこと。気軽に言えるようになると、人間関係がぐっと楽になるよ。",""
"42","5","一路平安。","Yílù píng'ān.","道中気をつけてね。","旅立つ人への定番の言葉。「一路（yílù）」は「道のり」、「平安（píng'ān）」は「無事・平和」。旅行に行く友達、遠くに引っ越す人に言える言葉。温かい気持ちが伝わる表現だよ。",""
"43","5","别忘了我。","Bié wàng le wǒ.","私のこと忘れないでね。","「别（bié）」は「〜しないで」、「忘了（wàng le）」は「忘れた」。シンプルだけど、これを言える関係って特別だと思う。冗談っぽく言っても、本気で言っても、どちらでも使えるよ。",""
"44","5","期待下次见面。","Qīdài xià cì jiànmiàn.","また会える日を楽しみにしてる。","「期待（qīdài）」は日本語と同じ意味。次に会える日を楽しみにしてることを伝える言葉。これを言われると、相手も次に会う理由ができるの。関係を続けたい時に使って。",""
"45","5","今天谢谢你陪我。","Jīntiān xièxie nǐ péi wǒ.","今日一緒にいてくれてありがとう。","「陪（péi）」は前にも出てきたね。覚えてる？「一緒にいる・寄り添う」って意味。時間を共有してくれたことへの感謝。これが自然に言えるようになったら、中国語だいぶ上手くなってるよ。",""
"46","5","好好照顾自己。","Hǎohǎo zhàogu zìjǐ.","自分を大切にしてね。","「照顾（zhàogu）」は「世話をする・ケアする」、「自己（zìjǐ）」は「自分」。他人を大切にするのと同じくらい、自分を大切にしてほしい。これ、私が日本で一番学んだことかもしれない。",""
"47","5","有空来找我。","Yǒu kòng lái zhǎo wǒ.","暇な時会いに来てね。","「有空（yǒu kòng）」は「暇がある・時間がある」、「找我（zhǎo wǒ）」は「私を探す・会いに来る」。気軽に誘える言葉。「いつでも来てね」より少しカジュアルで、友達っぽい表現だよ。",""
"48","5","我们下次一起去吃饭吧。","Wǒmen xià cì yìqǐ qù chīfàn ba.","今度一緒にご飯食べに行こう。","「一起（yìqǐ）」は「一緒に」、「吃饭（chīfàn）」は「ご飯を食べる」。別れ際に次の約束を作る言葉。これが自然に言えたら、もう友達だよ。私と一緒にご飯、行きたいでしょ？（笑）",""
"49","5","不管怎样，我在这里。","Bùguǎn zěnyàng, wǒ zài zhèlǐ.","何があっても、ここにいるよ。","「不管怎样（bùguǎn zěnyàng）」は「何があっても・どんなことがあっても」。これ、私が一番言われたい言葉かもしれない。大切な人に言える言葉って、結局これだと思う。",""
"50","5","再见，下次见！","Zàijiàn, xià cì jiàn!","じゃあね、また会おう！","最後はシンプルにこれ。「再见（zàijiàn）」はさよならじゃなくて「また会おう」って意味なの。中国語の別れの挨拶には、必ず「また会う」前提が入ってる。素敵だと思わない？",""
